paper_id,title,file_name,year,priority,extraction_quality,evidence_type,evidence_text,page_est,keyword,confidence
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,abstract,"Imperative integrations of high fracture toughness
andreusabilityareseeminglycontradictoryinionicelastomersdue
totheirintrinsicallyoppositenetworkdesigns.Suchcombinations,
however, are paramount for soft electronics, tissue engineering
scaffolds,andionicskinswithalongservicelife.Here,weengineer
a supramolecular ionic elastomer with phase-pinned bicontinuous
structures to reconcile these incompatible properties through
elaborately regulating the association dynamics and chain
entanglement. The co",1,abstract,high
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,conclusion,"lithium bonds in the percolating phase for chain disentangle- In this work, we propose a unique phase-pinned bicontinuous
ment, supporting a high stretchability and finally dissipating structure design for constructing a novel ionic elastomer with
the applied energy by the breakage of dipole−dipole excellent mechanical properties and reusability. The continu-
interactions in the liquid-crystal phase, exactly agreeing with ous liquid-crystal phase established by the aggregation of long
the propos",end,conclusion,high
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,excerpt,"Fracture Toughness and Reusability of Ionic Elastomers Zibi Wang, Xiaoxu Liu, Fahu Yang, Xinxin Li, Haipeng Li, Dong Liu, and Fei Chen*",1,toughness,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,excerpt,ABSTRACT: Imperative integrations of high fracture toughness andreusabilityareseeminglycontradictoryinionicelastomersdue,1,toughness,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,excerpt,"andreusabilityareseeminglycontradictoryinionicelastomersdue totheirintrinsicallyoppositenetworkdesigns.Suchcombinations,",1,elastomer,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,excerpt,a supramolecular ionic elastomer with phase-pinned bicontinuous structures to reconcile these incompatible properties through,1,elastomer,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,excerpt,"crack growth under single and cyclic loads is suppressed, fulfilling the brilliant toughness (60.3 MJ m−3), fracture energy (63.9 KJ m−2), fatigue threshold (1.56 KJ m−2), and ultrastretchability (∼3040%) requirements, while achieving excellent recyclability and",1,toughness,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,figure_caption,"Design philosophy of the ionic elastomer. (a) Schematic illustration of the phase-pinned bicontinuous structures strategy. Molecular
structures of (b) continuous liquid-crystal phase, (c) continuous percolating phase and (d) interphase regions. (e) FTIR spectra of LiTFSI,
PFEMA, MEA and PMP-0.5−1.5 ",,Figure 1,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,figure_caption,"Rheological properties of the PMP ionic elastomer. (a) Typical master curve of G′ and G″ for the PMP-0.5-1.5 ionic elastomer. (b)
Corresponding linear fitting curve between lna and 1/T. (c) Activation energy of PMP with different PFEMA contents. (d) Three-interval
T
thixotropytest (3ITT) curves.
ord",,Figure 3,medium
P013,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,P013_unidentified.pdf,2023,high,good,figure_caption,"Mechanism analysis for toughening the ionic elastomer. (a) Cyclic stress−strain curves of PMP-0.5-1.5 at various strains. (b)
Corresponding dissipated energy and energy dissipation ratio. (c) lg (σ/G)−lg (λ − λ−2) curve of the PMP-0.5-1.5 ionic elastomer. (d) FTIR
spectraofPMP-0.5-1.5atdifferenttemp",,Figure 5,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,abstract,"Soft polymer networks have seen an explosion
of recent developments motivated by new high tech
applications in the biomedical field or in engineering. We
present a candid and critical overview of the current
understanding of the relation between the structure and
molecular architecture of polymer networks and their
mechanical properties, restricting ourselves to soft networks
made of flexible polymers and displaying entropic elasticity.
We specifically review and compare recent approaches to
syn",1,abstract,high
P033,Perspective,P033_unidentified.pdf,2017,medium,good,conclusion,"of the
networks are swollen gels, and in particular hydrogels, that are
essentially polymer solutions that are prevented from flowing stateoftheartofsoftnetworkphysicsinthelate1950sandthe
excellent book edited by Alan Gent discusses mechanical
bythepresenceofcross-linkingpoints.Theirclassicalindustrial
properties of engineering elastomers.1 This begs the question:
applications involve the ability to absorb and retain large
amounts of fluids such as the superabsorbents used in diapers. why write ",end,conclusion,high
P033,Perspective,P033_unidentified.pdf,2017,medium,good,excerpt,"mechanical properties, restricting ourselves to soft networks made of flexible polymers and displaying entropic elasticity.",1,mechanical,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,excerpt,"synthesize swollen hydrogels with enhanced toughness, resilient but tough unfilled elastomers and self-healing",1,toughness,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,excerpt,resilient but tough unfilled elastomers and self-healing networks containing dynamic bonds. The purpose is less to,1,self-heal,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,excerpt,networks containing dynamic bonds. The purpose is less to drawacomprehensivecatalogueofapproachesthantoidentify,1,dynamic bond,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,excerpt,and unify the underlying principles controlling toughening mechanisms and mechanical self-healing behavior and to point out remaining challenges.,1,self-heal,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,figure_caption,"(a)FractureenergyΓasafunctionofpropagationvelocity
the absence of viscoelastic dissipation as discussed above.
orreducedpropagationvelocityfordifferentmaterials.(red■)Master
Therefore, one strategy used to increase σ and λ
curveat25°Cforastyrene−butadienerubber(T =−25°C)tested b b
g simultaneously w",,Figure 1,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,figure_caption,"Schematic of the fabrication of a double network gel. The
firstnetworkisinitiallysynthesizedinitsGaussianconfiguration.Then stratedwithchemoluminescenceexperimentsthatthetoughen-
itisswolleninthesecondmonomer.Atthisstagethefirstnetworkis ingmechanismwasduetothescissionofsacrificialbondsover
swollen ",,Figure 3,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,figure_caption,"Strain rate effect of a nanocomposite hydrogel: loading−
plasticelastomers.Thischangeinstructureismostlydependent
unloadingcyclesforvariedstrainrates(from3×10−4to0.6s−1).Data
on the attained level of strain but can be also dependent on from ref80.
strain rate. Unlike the double covalent networks, it",,Figure 6,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,figure_caption,"Schematics of polyampholyte hydrogel in the as-prepared
nanofillers (carbon black and silica mainly) that introduce
state (in the presence of excess salt) and equilibrium state (in pure
water). (a) Illustration of the structure inthe as-prepared state (with
straindependentdamagemechanismsandincrease",,Figure 7,medium
P033,Perspective,P033_unidentified.pdf,2017,medium,good,figure_caption,"(A)Stress−straincurveofasinglesampleofdoublenetworkelastomersubmittedtoastep-cycleloading.Theinsetrepresentstheapplied
stretchasafunctionoftime.Allcurvesfollowthesamepathonthestress−straincurveforthiselastomer.(B)Samegraphforasinglesampleof
triplenetwork.InthiscaseeachNthcyclefollowsadifferentpathwh",,Figure 9,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,abstract,"Dual polymer networks with stickers have a
reputation for enhanced modulus and toughness. We propose a
modified sticky Rouse model (SRM) from the single-chain
perspective for permanent and transient dual networks, aiming to
find a universal description of associative polymer dynamics. The
computational complexity of obtaining the analytical relaxation
spectrum is simplified by graph theory, implementing matrix
reductionoftheRouse−Zimmmatrixbasedonthesymmetry.The
analytical relaxation spectrum ca",1,abstract,high
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,conclusion,"which can fluctuate around the equilibrium position. These
are summarized in Section 5. fluctuations can reduce the cumulative stretching of the
molecular chain and thus decreasing the overall free energy.
2. MODEL AND THEORY One of the earliest models that incorporates the fluctuations
The dual polymer network is composed of permanent and wasdevelopedbyJamesandGuthinthe1940s,knownasthe
transient networks. The transient network formed by the phantom network model.27,28 It considers that the cros",end,conclusion,high
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,excerpt,reputation for enhanced modulus and toughness. We propose a modified sticky Rouse model (SRM) from the single-chain,1,toughness,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,excerpt,"chain molecular model SRM for polymer complex networks with reversible associative interactions. 1. INTRODUCTION relaxation process of dual polymer networks, the strands",1,reversible,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,excerpt,"mechanical properties, exhibiting linear and nonlinear viscoelastic properties, which give them integral roles in decay. This can roughly draw out the physical picture of dual",1,mechanical,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,excerpt,"many practical scenarios, like tissue engineering, self-healing polymernetworkrelaxationwhileignoresthedetailedbehavior materials, and shape memory functional materials.1−3 The overthewholerheologicalproperties.Recently,HuiandLong",1,self-heal,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,excerpt,"excellent mechanical properties come from two contributions, etal.developedaconstitutivemodelofdualpolymernetworks one is the permanent polymer network in a long time scale, forthestressversusstrainresponsewithlargestrain,whichwas",1,mechanical,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,figure_caption,"Top: Schematic description for the dual polymer network
Thispaperisorganizedasfollows:inSection2,wegivethe
chain model, with only one sticker in the middle of each strand for
physical picture of dual polymer networks and review the calculation simplicity. Bottom: The micelles formed by sticker
molec",,Figure 1,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,figure_caption,"The affine dual network model is complicated and tedious mathematical derivation and maps
the reduction operation to the topological splitting of chain
structures with simplicity and university. They obtained the
analytical eigen-polynomials of the RZ matrix for dendrimers
bygraphtheoryandgaveanalyt",,Figure 3,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,figure_caption,"ComparisonofrelaxationmodulusG(t)betweenphantomandaffinedualnetworks.Theinfluenceof(a)strandslength,(c)functional
degree,and(d)generationinbothnetworks.Theresultsfromaffineandphantomnetworksareplottedasreddottedlinesandblacksolidlines,
respectively.(b)Equilibriummodulus against the inverseof strandl",,Figure 4,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,figure_caption,"ComparisonbetweentheG(t)obtainedfromanalyticalandnumericalcalculationsofourmodifiedSRMdualnetworksundervariable
(a)effectivefrictioncoefficientδand(b)generationg.ThedottedandsolidlinesrepresentanalyticalandnumericalsolutionsofSRM,respectively.
networks.Theresultsconformtothepreviousconclusion,and th",,Figure 6,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,figure_caption,"The corresponding experiment in
Information for the detailed derivation, where the G(ϕ,t) theSupportingInformationcanbefoundinthemastercurves
converges with large generation g, of the modulus by Sheiko et al.5
543 https://doi.org/10.1021/acs.macromol.1c02059
Macromolecules2022,55,535−549
Macromolecu",,Figure 6,medium
P044,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,P044_unidentified.pdf,2022,medium,good,figure_caption,"Quantitative comparison between predictions and simulation results through two methods. (a) Lifetime before a sticker finds new
partners.(b)Arrheniusrelationshipbetweenthebindingenergyhandthebondlifetimeτ.Foravoidingtheinfluenceofτ ,wepresenttheratio
b b0
between τ and τ . (c) Linear relaxation modu",,Figure 9,medium
P047,Rouse mode analysis of chain relaxation in,P047_unidentified.pdf,2025,low,partial,conclusion,"process. We also identify strong finite chain length effects on
thesefastrelaxations.WecalculatetheeffectivefrictionsforN= Reversibly crosslinked polymers have the unique ability to
50andfindthecurvesforsmallert c followsimilartrends,but combinehighmechanicalpropertieswithreprocessibility.Here,
thatwedoseeplateauvaluesfort =500t,thelargestvaluesof
c wereporttherelaxationbehaviorofsuchreversiblycrosslinked
t that we have studied, Fig. 5b. We now turn to the slower
c systems through coarse-grained",end,conclusion,medium
P047,Rouse mode analysis of chain relaxation in,P047_unidentified.pdf,2025,low,partial,excerpt,"Polymer melts with chains undergoing reversible crosslinking have distinctively favorable dynamic properties, e.g., self-healing and reprocessability. In these situations, there are two relevant elementary",1,reversible,medium
P047,Rouse mode analysis of chain relaxation in,P047_unidentified.pdf,2025,low,partial,excerpt,"properties, e.g., self-healing and reprocessability. In these situations, there are two relevant elementary time scales: the segmental and the sticker association times. A convenient framework to model these",1,self-heal,medium
P047,Rouse mode analysis of chain relaxation in,P047_unidentified.pdf,2025,low,partial,excerpt,1. Introduction impacted by the presence of these reversible crosslinks. The Rouse model is the simplest description of short chain,1,reversible,medium
P047,Rouse mode analysis of chain relaxation in,P047_unidentified.pdf,2025,low,partial,excerpt,"favorablemechanicalproperties.However,theyareunsustain- that the relaxation of a chain can be described as the super- able since they cannot be reprocessed. In contrast, polymer position of normal Fourier modes corresponding to progres-",1,mechanical,medium
P047,Rouse mode analysis of chain relaxation in,P047_unidentified.pdf,2025,low,partial,excerpt,"able since they cannot be reprocessed. In contrast, polymer position of normal Fourier modes corresponding to progres- networksthatcanrearrangetheirtopologywithoutdepolymer- sively smaller subchain fragments. The question of how such",1,reprocess,medium
P051,POLYMERS able.Somehealablematerialswithhighme-,P051_unidentified.pdf,2018,low,partial,excerpt,weightpolymersformmechanicallyrobustma- terialsowingtotheentanglementoflongpolymer,1,mechanical,medium
P051,POLYMERS able.Somehealablematerialswithhighme-,P051_unidentified.pdf,2018,low,partial,excerpt,"societies.Noncrystalline,high-molecular-weightpolymersgenerallyformmechanically portionswithinreasonabletimescales(2).On",1,mechanical,medium
P051,POLYMERS able.Somehealablematerialswithhighme-,P051_unidentified.pdf,2018,low,partial,excerpt,"Hbonds,maybeelaboratedintomechanically weightpolymers,whencross-linkedbydensehydrogenbonds,yieldmechanicallyrobust",1,mechanical,medium
P051,POLYMERS able.Somehealablematerialswithhighme-,P051_unidentified.pdf,2018,low,partial,excerpt,"weightpolymers,whencross-linkedbydensehydrogenbonds,yieldmechanicallyrobust robust yet healable polymeric materials, be-",1,mechanical,medium
P051,POLYMERS able.Somehealablematerialswithhighme-,P051_unidentified.pdf,2018,low,partial,excerpt,"foractivatingtheexchangeofhydrogen-bondedpairs,whichenablesthefractured elastomers (14) with H-bonding motifs have",1,exchange,medium
P051,POLYMERS able.Somehealablematerialswithhighme-,P051_unidentified.pdf,2018,low,partial,figure_caption,"Molecularstructuresandcharacteriza-
tionofpoly(ether-thiourea)TUEG andits
3
referencepolymers.(A)Schematicstructures
ofpoly(ether-thioureas)withdiethyleneglycol
(TUEG ),triethyleneglycol(TUEG ),andtetra- 2 3
ethyleneglycol(TUEG )asspacers;schematic 4
structuresofpoly(alkylene-thioureas)with
octameth",,Figure 1,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,conclusion,"In summary, crosslinked dynamers of network topology in the form of organogels have been
synthesized from a trialdehyde and a range of dinitroalkanes through the nitroaldol reaction for
the first time. The gelation process could be controlled by adjusting the starting materials,
where a distinct odd–even dependency of the dinitroalkane components was identified. The gel
formation could also be tuned by adjusting the reaction conditions with respect to solvent,
temperature, concentration, and cat",end,conclusion,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,excerpt,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol Organogels",1,self-heal,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,excerpt,"excellent self-healing ability. Intact xerogels were produced upon drying, without damaging the network, and the solvent-free network could recover its gel form in the presence of an organic",1,self-heal,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,excerpt,"with reversible covalent linkages, dynamers can undergo bond exchange and constitutional, structural rearrangement, thus leading to a wide spectrum of properties, such as stimuli-",1,reversible,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,excerpt,"responsiveness, self-healing ability, shape-memory behavior, degradability and recyclability, antimicrobial and wound-dressing abilities, etc.[1,4,5,7,8,16–32] Due to the large scope of available",1,self-heal,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,excerpt,"dynamic building blocks and the versatility of reversible covalent reactions, dynamers of a wide diversity of topologies, e.g. linear structures, [1,5,33,34] amorphous networks,[2,4,35–37] and",1,reversible,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,figure_caption,"a) Proposed nitroaldol crosslinking polymerization system; b) model nitroaldol system; ¹H-NMR
spectra (400 MHz, DMSO-d₆) of c) initial mixture of compounds 1 (□) and 4 (▽); d) mixture of compounds 1, 4,
and Et₃N after 24 h of incubation at rt; e) mixture of compound 5 (○) and Et₃N after 24 h of incu",,Figure 1,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,figure_caption,"Effects of a) trialdehyde feed concentration (ratio 1/2d: 2:3); b) NEt₃ loading; and c) temperature on
gelation time in reaction between 1 and 2d in DMSO.
The gelation time under different feed concentrations of the starting materials, determined
by the tube inversion method, was furthermore investi",,Figure 3,medium
P063,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",P063_unidentified.pdf,2023,low,partial,figure_caption,"a)–d) Self-healing test on gel 3d; e) oscillatory rheology profile of gel 3d before and after self-healing;
f) continuous step-strain sweep test on gel 3d (original (■), healed (▲) , storage modulus G’ (blue), loss modulus
G” (orange)).
To further evaluate the self-healing ability of the nitroalcoho",,Figure 5,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,conclusion,"that irreversible observed above 60 ◦C due to the destruction of abundant hydrogen
structural damage due to aggregate dissociation primarily occurs below bonds, the overall network structure stays intact, indicating its suit-
200 %. Meanwhile, Erh showed a continuous linear increase with strain, ability for applications under mildly elevated temperatures. The dehy-
with a more pronounced acceleration observed above 400 %. This dration process facilitates robust hydrogen-bond interactions among t",end,conclusion,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,excerpt,"Hydrogels mechanical properties achieved through controlled polymer chain aggregation via various processing methods. Poly(vinyl alcohol) However, the reversible nature of these physical interactions leads to severe mechanical degradation in aqueous",1,mechanical,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,excerpt,"Poly(vinyl alcohol) However, the reversible nature of these physical interactions leads to severe mechanical degradation in aqueous Tough",1,reversible,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,excerpt,"environments, where water molecules competitively disrupt hydrogen bonds and dissolve aggregated structures, Anti-swelling",1,hydrogen bond,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,excerpt,"enhancement in elastic modulus, 2.1-fold increase in breaking strain, and 4.8-fold improvement in toughness, while dramatically improving environmental stability–the mechanical strength retention increases from ~ 20 %",1,toughness,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,excerpt,"while dramatically improving environmental stability–the mechanical strength retention increases from ~ 20 % to >80 % after aqueous immersion, with volume expansion reduced from typical 20–30 % to less than 5 %.",1,mechanical,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,figure_caption,"Tough and anti-swelling PVA hydrogels via protective domains. a) Schematic of PVA-FRC fabrication: dehydration by air drying induces crystallization,
followed by free radical crosslinking to form protective loose aggregates around crystallites. b) Deformation mechanism under tension: release of hidd",,Figure 1,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,figure_caption,"Mechanical properties and energy dissipation behavior of PVA-FRC hydrogels. a-c) Tensile stress–strain curves (a) and corresponding Young’s modulus,
E, tensile strength, σ b, breaking strain, ε b, and toughness, Γ, of PVA-water (b) and PVA-FRC (c) hydrogels fabricated from low-water PVA hydrogel wit",,Figure 3,medium
P066,Materials Today xxx (xxxx) xxx,P066_unidentified.pdf,2025,low,partial,figure_caption,"Generality in stabilizing various architectures of PVA hydrogels. a-c) Swelling ratio (a), SEM image (b), and tensile stress–strain curves (c) of PVA
hydrogel prepared by freeze-thawing 3 cycles, after dehydration-free radical crosslinking (D-FRC) treatment. d-f) Swelling ratio (d), SEM image (e), a",,Figure 5,medium
P097,Ultra-stretchable and biodegradable,P097_unidentified.pdf,2023,medium,partial,conclusion,"19. Sim,K.etal.Anepicardialbioelectronicpatchmadefromsoft
Further information on research design is available in the Nature rubberymaterialsandcapableofspatiotemporalmappingof
PortfolioReportingSummarylinkedtothisarticle. electrophysiologicalactivity.Nat.Electron.3,775–784(2020).
20. Park,S.I.etal.Soft,stretchable,fullyimplantableminiaturized
Dataavailability optoelectronicsystemsforwirelessoptogenetics.Nat.Biotechnol.
All data supporting the findings and conclusions of this study are 33,1280–12",end,conclusion,medium
P097,Ultra-stretchable and biodegradable,P097_unidentified.pdf,2023,medium,partial,excerpt,"elastomers for soft, transient electronics Received:14December2022 WonBaeHan 1,7,Gwan-JinKo 1,7,Kang-GonLee2,DonghakKim3,",1,elastomer,medium
P097,Ultra-stretchable and biodegradable,P097_unidentified.pdf,2023,medium,partial,excerpt,"Asrubber-likeelastomershaveledtoscientificbreakthroughsinsoft, stretchablecharacteristics-basedwearable,implantableelectronicdevicesor",1,elastomer,medium
P097,Ultra-stretchable and biodegradable,P097_unidentified.pdf,2023,medium,partial,excerpt,"relevantresearchfields,developmentsofdegradableelastomerswithcom- parablemechanicalpropertiescouldbringsimilartechnologicalinnovationsin",1,elastomer,medium
P097,Ultra-stretchable and biodegradable,P097_unidentified.pdf,2023,medium,partial,excerpt,"parablemechanicalpropertiescouldbringsimilartechnologicalinnovationsin transient,bioresorbableelectronicsorexpansionintounexploredareas.Here,",1,mechanical,medium
