node_id,node_type,label,category,description,evidence_count,confidence,original_title,display_title,title_uncertain
N0098,Paper,P246,Ionogel_Magnetic_Ionogel,Enhanced Mechanical Properties of Polyurethane Ionogels,10,high,Enhanced Mechanical Properties of Polyurethane Ionogels,Enhanced Mechanical Properties of Polyurethane Ionogels,False
N0099,Paper,P247,Ionogel_Magnetic_Ionogel,Energy Applications of Ionic Liquids: Recent Developments and,15,high,Energy Applications of Ionic Liquids: Recent Developments and,Energy Applications of Ionic Liquids: Recent Developments and,False
N0100,Paper,P248,Ionogel_Magnetic_Ionogel,Theory and Simulations of Ionic Liquids in Nanoconfinement,17,high,Theory and Simulations of Ionic Liquids in Nanoconfinement,Theory and Simulations of Ionic Liquids in Nanoconfinement,False
N0101,Paper,P249,Ionogel_Magnetic_Ionogel,Polymerized and Colloidal Ionic Liquids�Syntheses and,10,high,Polymerized and Colloidal Ionic Liquids�Syntheses and,Polymerized and Colloidal Ionic Liquids�Syntheses and,False
N0102,Paper,P254,Ionogel_Magnetic_Ionogel,assembles into a lattice that contains numerous energetically near-,9,high,assembles into a lattice that contains numerous energetically near-,assembles into a lattice that contains numerous energetically near-,False
N0103,Paper,P256,Ionogel_Magnetic_Ionogel,pubs.acs.org/Macromolecules Perspective,17,high,pubs.acs.org/Macromolecules Perspective,pubs.acs.org/Macromolecules Perspective,False
N0104,Paper,P269,Ionogel_Magnetic_Ionogel,ISSN 1998-0124 CN 11-5974/O4,10,high,ISSN 1998-0124 CN 11-5974/O4,ISSN 1998-0124 CN 11-5974/O4,False
N0105,Paper,P448,Ionogel_Magnetic_Ionogel,Supramolecular Self-Assembly Regulated Double-Network Ionic Gel,11,high,Supramolecular Self-Assembly Regulated Double-Network Ionic Gel,Supramolecular Self-Assembly Regulated Double-Network Ionic Gel,False
N0106,Paper,P182,ML_Polymer_Properties,TransPolymer: a Transformer-based language model for,10,high,TransPolymer: a Transformer-based language model for,TransPolymer: a Transformer-based language model for,False
N0107,Paper,P183,ML_Polymer_Properties,A Machine Learning Interatomic Potential Data Set and Model for,15,high,A Machine Learning Interatomic Potential Data Set and Model for,A Machine Learning Interatomic Potential Data Set and Model for,False
N0108,Paper,P184,ML_Polymer_Properties,Δ‑Learning of High-Fidelity Electronic,11,high,Δ‑Learning of High-Fidelity Electronic,Δ‑Learning of High-Fidelity Electronic,False
N0109,Paper,P185,ML_Polymer_Properties,Adding Machine Learning to the Polymer Reaction Engineering,11,high,Adding Machine Learning to the Polymer Reaction Engineering,Adding Machine Learning to the Polymer Reaction Engineering,False
N0110,Paper,P186,ML_Polymer_Properties,Periodicity-aware deep learning for polymers,8,high,Periodicity-aware deep learning for polymers,Periodicity-aware deep learning for polymers,False
N0111,Paper,P187,ML_Polymer_Properties,Structure-Aware Machine Learning for Polymers: A,10,high,Structure-Aware Machine Learning for Polymers: A,Structure-Aware Machine Learning for Polymers: A,False
N0112,Paper,P189,ML_Polymer_Properties,"Accurately Predicting Solubility Curves via a Thermodynamic Cycle,",18,high,"Accurately Predicting Solubility Curves via a Thermodynamic Cycle,","Accurately Predicting Solubility Curves via a Thermodynamic Cycle,",False
N0113,Paper,P192,ML_Polymer_Properties,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,7,high,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,False
N0114,Paper,P305,ML_Polymer_Properties,Separated Structures in Graft-Type Polymer Electrolyte Membrane,13,high,Separated Structures in Graft-Type Polymer Electrolyte Membrane,Separated Structures in Graft-Type Polymer Electrolyte Membrane,False
N0115,Paper,P049,PU_Microphase_Separation,Green Chemistry,10,high,Green Chemistry,Green Chemistry,False
N0116,Paper,P156,PU_Microphase_Separation,Angewandte Chemie International Edition,5,high,Angewandte Chemie International Edition,Angewandte Chemie International Edition,False
N0117,Paper,P235,PU_Microphase_Separation,In Situ Visualization of Microphase Separation in High-Performance,11,high,In Situ Visualization of Microphase Separation in High-Performance,In Situ Visualization of Microphase Separation in High-Performance,False
N0118,Paper,P258,PU_Microphase_Separation,"Macromolecules2008,41,5723-5728 5723",10,high,"Macromolecules2008,41,5723-5728 5723","Macromolecules2008,41,5723-5728 5723",False
N0119,Paper,P287,PU_Microphase_Separation,Role of Stress Relaxation in Biaxially Stretching-Induced,10,high,Role of Stress Relaxation in Biaxially Stretching-Induced,Role of Stress Relaxation in Biaxially Stretching-Induced,False
N0120,Paper,P320,PU_Microphase_Separation,Multiscale Simulation of Multicomponent Polyurethane Elastomers:,11,high,Multiscale Simulation of Multicomponent Polyurethane Elastomers:,Multiscale Simulation of Multicomponent Polyurethane Elastomers:,False
N0121,Paper,P322,PU_Microphase_Separation,Investigating the Water-Induced Stiffening Mechanism in a Novel,10,high,Investigating the Water-Induced Stiffening Mechanism in a Novel,Investigating the Water-Induced Stiffening Mechanism in a Novel,False
N0122,Paper,P370,PU_Microphase_Separation,Polymer45(2004)7273–7291,12,high,Polymer45(2004)7273–7291,Polymer45(2004)7273–7291,False
N0123,Paper,P375,PU_Microphase_Separation,A Multiscale Investigation on the Mechanism of Shape Recovery for,12,high,A Multiscale Investigation on the Mechanism of Shape Recovery for,A Multiscale Investigation on the Mechanism of Shape Recovery for,False
N0124,Paper,P397,PU_Microphase_Separation,Impact of Network Architecture and Cross-Link Aggregation on the,11,high,Impact of Network Architecture and Cross-Link Aggregation on the,Impact of Network Architecture and Cross-Link Aggregation on the,False
N0125,Paper,P427,PU_Microphase_Separation,Decoding Exchange Mechanisms in High-Performance Polyurethane,15,high,Decoding Exchange Mechanisms in High-Performance Polyurethane,Decoding Exchange Mechanisms in High-Performance Polyurethane,False
N0126,Paper,P437,PU_Microphase_Separation,Ligament Inspired Ultra-Strong and Tough Bio-Based,9,high,Ligament Inspired Ultra-Strong and Tough Bio-Based,Ligament Inspired Ultra-Strong and Tough Bio-Based,False
N0127,Paper,P010,Review_Background,Surpassing the stiffness-extensibility trade-off,6,high,Surpassing the stiffness-extensibility trade-off,Surpassing the stiffness-extensibility trade-off,False
N0128,Paper,P018,Review_Background,"This is an open access article published under an ACS AuthorChoice License, which permits",10,high,"This is an open access article published under an ACS AuthorChoice License, which permits","This is an open access article published under an ACS AuthorChoice License, which permits",False
N0129,Paper,P021,Review_Background,Solution Self-Assembly of Block Copolymers,8,high,Solution Self-Assembly of Block Copolymers,Solution Self-Assembly of Block Copolymers,False
N0130,Paper,P023,Review_Background,: Polymer Brushes: Novel Surfaces for,8,high,: Polymer Brushes: Novel Surfaces for,: Polymer Brushes: Novel Surfaces for,False
N0131,Paper,P029,Review_Background,: Challenges in the Dynamics and,8,high,: Challenges in the Dynamics and,: Challenges in the Dynamics and,False
N0132,Paper,P038,Review_Background,: Polymeric Biomaterials: Diverse,9,high,: Polymeric Biomaterials: Diverse,: Polymeric Biomaterials: Diverse,False
N0133,Paper,P040,Review_Background,"CiteThis:Macromolecules2017,50,9525−9527",4,high,"CiteThis:Macromolecules2017,50,9525−9527","CiteThis:Macromolecules2017,50,9525−9527",False
N0134,Paper,P070,Review_Background,OPEN ACCESS,9,high,OPEN ACCESS,OPEN ACCESS,False
N0135,Paper,P102,Review_Background,Recent Advances in the Design of Ionenes: Toward,8,high,Recent Advances in the Design of Ionenes: Toward,Recent Advances in the Design of Ionenes: Toward,False
N0136,Paper,P139,Review_Background,INSIGHTS | PERSPECTIVES,3,high,INSIGHTS | PERSPECTIVES,INSIGHTS | PERSPECTIVES,False
N0137,Paper,P194,Review_Background,Progress in Polymer Science 120 (2021) 101430,5,high,Progress in Polymer Science 120 (2021) 101430,Progress in Polymer Science 120 (2021) 101430,False
N0138,Paper,P201,Review_Background,Mechanisms of Flow-Induced Polymer Translocation,10,high,Mechanisms of Flow-Induced Polymer Translocation,Mechanisms of Flow-Induced Polymer Translocation,False
N0139,Paper,P219,Review_Background,Steady-State Extensional Viscosity of Wormlike Micellar Solutions,10,high,Steady-State Extensional Viscosity of Wormlike Micellar Solutions,Steady-State Extensional Viscosity of Wormlike Micellar Solutions,False
N0140,Paper,P221,Review_Background,高 等 学 校 化 学 学 报,1,high,高 等 学 校 化 学 学 报,高 等 学 校 化 学 学 报,False
N0141,Paper,P228,Review_Background,"PHYSICAL REVIEW E 112,054404(2025)",6,high,"PHYSICAL REVIEW E 112,054404(2025)","PHYSICAL REVIEW E 112,054404(2025)",False
N0142,Paper,P266,Review_Background,Iontronics: Neuromorphic Sensing and Energy,9,high,Iontronics: Neuromorphic Sensing and Energy,Iontronics: Neuromorphic Sensing and Energy,False
N0143,Paper,P270,Review_Background,Sustainable electronic textiles towards,4,high,Sustainable electronic textiles towards,Sustainable electronic textiles towards,False
N0144,Paper,P285,Review_Background,Nonmonotonic Variation of the Preferential Orientation of Lamellar,9,high,Nonmonotonic Variation of the Preferential Orientation of Lamellar,Nonmonotonic Variation of the Preferential Orientation of Lamellar,False
N0145,Paper,P333,Review_Background,Prog.Polym.Sci.31(2006)487–531,9,high,Prog.Polym.Sci.31(2006)487–531,Prog.Polym.Sci.31(2006)487–531,False
N0146,Paper,P334,Review_Background,OF ORGANIC CHEMISTRY,5,high,OF ORGANIC CHEMISTRY,OF ORGANIC CHEMISTRY,False
N0147,Paper,P340,Review_Background,nature reviews materials https://doi.org/10.1038/s41578-024-00755-1,4,high,nature reviews materials https://doi.org/10.1038/s41578-024-00755-1,nature reviews materials https://doi.org/10.1038/s41578-024-00755-1,False
N0148,Paper,P345,Review_Background,Triply periodic minimal surface (TPMS) porous -Surface curvature in triply-periodic minimal,9,high,Triply periodic minimal surface (TPMS) porous -Surface curvature in triply-periodic minimal,Triply periodic minimal surface (TPMS) porous -Surface curvature in triply-periodic minimal,False
N0149,Paper,P356,Review_Background,Generalized Entropy Theory of Glass Formation in Graft Polymer,9,high,Generalized Entropy Theory of Glass Formation in Graft Polymer,Generalized Entropy Theory of Glass Formation in Graft Polymer,False
N0150,Paper,P390,Review_Background,Fatigue failure in glasses under cyclic shear,4,high,Fatigue failure in glasses under cyclic shear,Fatigue failure in glasses under cyclic shear,False
N0151,Paper,P393,Review_Background,"PHYSICAL REVIEW LETTERS 131, 228102 (2023)",5,high,"PHYSICAL REVIEW LETTERS 131, 228102 (2023)","PHYSICAL REVIEW LETTERS 131, 228102 (2023)",False
N0152,Paper,P406,Review_Background,"PHYSICAL REVIEW E 99,012107(2019)",8,high,"PHYSICAL REVIEW E 99,012107(2019)","PHYSICAL REVIEW E 99,012107(2019)",False
N0153,Paper,P407,Review_Background,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228644644",9,high,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228644644","See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228644644",False
N0154,Paper,P408,Review_Background,"PHYSICAL REVIEW X 12, 021001 (2022)",6,high,"PHYSICAL REVIEW X 12, 021001 (2022)","PHYSICAL REVIEW X 12, 021001 (2022)",False
N0155,Paper,P454,Review_Background,Chemical Society Reviews,4,high,Chemical Society Reviews,Chemical Society Reviews,False
N0156,Paper,P013,Self_Healing_Elastomer,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,10,high,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,False
N0157,Paper,P033,Self_Healing_Elastomer,Perspective,12,high,Perspective,Perspective,False
N0158,Paper,P044,Self_Healing_Elastomer,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,13,high,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,False
N0159,Paper,P047,Self_Healing_Elastomer,Rouse mode analysis of chain relaxation in,6,high,Rouse mode analysis of chain relaxation in,Rouse mode analysis of chain relaxation in,False
N0160,Paper,P051,Self_Healing_Elastomer,POLYMERS able.Somehealablematerialswithhighme-,6,high,POLYMERS able.Somehealablematerialswithhighme-,POLYMERS able.Somehealablematerialswithhighme-,False
N0161,Paper,P063,Self_Healing_Elastomer,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",9,high,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol","Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",False
N0162,Paper,P066,Self_Healing_Elastomer,Materials Today xxx (xxxx) xxx,9,high,Materials Today xxx (xxxx) xxx,Materials Today xxx (xxxx) xxx,False
N0163,Paper,P097,Self_Healing_Elastomer,Ultra-stretchable and biodegradable,12,high,Ultra-stretchable and biodegradable,Ultra-stretchable and biodegradable,False
N0164,Paper,P118,Self_Healing_Elastomer,"Materials Today d Volume xxx, Number xx d xxxx 2025 RESEARCH (LIGHT BLUE)",5,high,"Materials Today d Volume xxx, Number xx d xxxx 2025 RESEARCH (LIGHT BLUE)","Materials Today d Volume xxx, Number xx d xxxx 2025 RESEARCH (LIGHT BLUE)",False
N0165,Paper,P150,Self_Healing_Elastomer,Dynamic Covalent Polymer Networks: A Molecular Platform for,11,high,Dynamic Covalent Polymer Networks: A Molecular Platform for,Dynamic Covalent Polymer Networks: A Molecular Platform for,False
N0166,Paper,P225,Self_Healing_Elastomer,Multipotent Elastomers via Tempering of Phase-Separated Dynamic,11,high,Multipotent Elastomers via Tempering of Phase-Separated Dynamic,Multipotent Elastomers via Tempering of Phase-Separated Dynamic,False
N0167,Paper,P250,Self_Healing_Elastomer,Polymer Network Diffusion in Charged Gels,4,high,Polymer Network Diffusion in Charged Gels,Polymer Network Diffusion in Charged Gels,False
N0168,Paper,P359,Self_Healing_Elastomer,Coherent State Field Theory for Reversible Gelation of Star Polymers,11,high,Coherent State Field Theory for Reversible Gelation of Star Polymers,Coherent State Field Theory for Reversible Gelation of Star Polymers,False
N0169,Paper,P368,Self_Healing_Elastomer,Speed-Induced Extensibility Elastomers with Good Resilience and,10,high,Speed-Induced Extensibility Elastomers with Good Resilience and,Speed-Induced Extensibility Elastomers with Good Resilience and,False
N0170,Paper,P396,Self_Healing_Elastomer,Segmental Dynamics and Vitrification in Associating Copolymer,14,high,Segmental Dynamics and Vitrification in Associating Copolymer,Segmental Dynamics and Vitrification in Associating Copolymer,False
N0171,Paper,P400,Self_Healing_Elastomer,Tensile Strain Softening of Associative Polymer Networks:,13,high,Tensile Strain Softening of Associative Polymer Networks:,Tensile Strain Softening of Associative Polymer Networks:,False
N0172,Paper,P428,Self_Healing_Elastomer,Correlation between Structural Flexibility of H‑Bonding Motifs and,14,high,Correlation between Structural Flexibility of H‑Bonding Motifs and,Correlation between Structural Flexibility of H‑Bonding Motifs and,False
N0173,Paper,P433,Self_Healing_Elastomer,Molecular Springs in Dynamic Covalent Polymer Networks,9,high,Molecular Springs in Dynamic Covalent Polymer Networks,Molecular Springs in Dynamic Covalent Polymer Networks,False
N0174,Paper,P443,Self_Healing_Elastomer,Orthogonal yet Synergistic Supramolecular Interactions to Boost,11,high,Orthogonal yet Synergistic Supramolecular Interactions to Boost,Orthogonal yet Synergistic Supramolecular Interactions to Boost,False
N0175,Paper,P444,Self_Healing_Elastomer,Dynamic Synergy Effect between the Hydrogen Bond Network and,13,high,Dynamic Synergy Effect between the Hydrogen Bond Network and,Dynamic Synergy Effect between the Hydrogen Bond Network and,False
N0176,Paper,P045,Shape_Memory_Polyurethane,第 38卷 第 2 期,4,high,第 38卷 第 2 期,第 38卷 第 2 期,False
N0177,Paper,P209,Shape_Memory_Polyurethane,Design of a Recyclable Thiol−ene Network with Dynamic Ether,11,high,Design of a Recyclable Thiol−ene Network with Dynamic Ether,Design of a Recyclable Thiol−ene Network with Dynamic Ether,False
N0178,Paper,P224,Shape_Memory_Polyurethane,EDGE ARTICLE,8,high,EDGE ARTICLE,EDGE ARTICLE,False
N0179,Paper,P237,Shape_Memory_Polyurethane,Dynamic Boronate Ester Chemistry Facilitating 3D Printing,8,high,Dynamic Boronate Ester Chemistry Facilitating 3D Printing,Dynamic Boronate Ester Chemistry Facilitating 3D Printing,False
N0180,Material,Polyurethane,,Material system: Polyurethane,59,medium,,,False
N0181,Material,Thermoplastic Polyurethane,,Material system: Thermoplastic Polyurethane,48,medium,,,False
N0182,Material,Poly(vinylidene fluoride),,Material system: Poly(vinylidene fluoride),45,medium,,,False
N0183,Material,Polycaprolactone,,Material system: Polycaprolactone,22,medium,,,False
N0184,Material,Polylactic acid,,Material system: Polylactic acid,143,medium,,,False
N0185,Material,Polyethylene glycol,,Material system: Polyethylene glycol,15,medium,,,False
N0186,Material,Polydimethylsiloxane,,Material system: Polydimethylsiloxane,13,medium,,,False
N0187,Material,Hydrogel,,Material system: Hydrogel,35,medium,,,False
N0188,Material,Ionogel,,Material system: Ionogel,39,medium,,,False
N0189,Material,Elastomer,,Material system: Elastomer,154,medium,,,False
N0190,Method,SAXS,,Characterization method: SAXS,76,medium,,,False
N0191,Method,WAXS,,Characterization method: WAXS,27,medium,,,False
N0192,Method,FTIR,,Characterization method: FTIR,15,medium,,,False
N0193,Method,DSC,,Characterization method: DSC,61,medium,,,False
N0194,Method,DMA,,Characterization method: DMA,22,medium,,,False
N0195,Method,TGA,,Characterization method: TGA,8,medium,,,False
N0196,Method,SEM,,Characterization method: SEM,77,medium,,,False
N0197,Method,TEM,,Characterization method: TEM,312,medium,,,False
N0198,Method,AFM,,Characterization method: AFM,14,medium,,,False
N0199,Method,NMR,,Characterization method: NMR,27,medium,,,False
N0200,Method,Rheology,,Characterization method: Rheology,9,medium,,,False
N0201,Method,Tensile Testing,,Characterization method: Tensile Testing,1,medium,,,False
N0202,Method,XRD,,Characterization method: XRD,9,medium,,,False
N0203,Method,Dielectric Spectroscopy,,Characterization method: Dielectric Spectroscopy,3,medium,,,False
N0204,Property,tensile strength,,Measurable property: tensile strength,12,medium,,,False
N0205,Property,elongation at break,,Measurable property: elongation at break,20,medium,,,False
N0206,Property,toughness,,Measurable property: toughness,54,medium,,,False
N0207,Property,modulus,,Measurable property: modulus,60,medium,,,False
N0208,Property,Tg,,Measurable property: Tg,9,medium,,,False
N0209,Property,Tm,,Measurable property: Tm,77,medium,,,False
N0210,Property,crystallinity,,Measurable property: crystallinity,17,medium,,,False
N0211,Property,ionic conductivity,,Measurable property: ionic conductivity,33,medium,,,False
N0212,Property,d33,,Measurable property: d33,1,medium,,,False
N0213,Property,self-healing efficiency,,Measurable property: self-healing efficiency,2,medium,,,False
N0214,Property,recovery ratio,,Measurable property: recovery ratio,3,medium,,,False
N0215,Mechanism,microphase separation,,Physical mechanism: microphase separation,23,medium,,,False
N0216,Mechanism,strain-induced crystallization,,Physical mechanism: strain-induced crystallization,3,medium,,,False
N0217,Mechanism,hydrogen bonding,,Physical mechanism: hydrogen bonding,17,medium,,,False
N0218,Mechanism,self-healing,,Physical mechanism: self-healing,59,medium,,,False
N0219,Mechanism,shape memory,,Physical mechanism: shape memory,16,medium,,,False
N0220,Mechanism,piezoelectric effect,,Physical mechanism: piezoelectric effect,5,medium,,,False
N0221,Mechanism,degradation,,Physical mechanism: degradation,15,medium,,,False
N0222,Mechanism,biocompatibility,,Physical mechanism: biocompatibility,8,medium,,,False
N0223,Project,PU_microphase_mechanics,,PU Microphase Separation and Mechanics,0,high,,,False
N0224,Project,PCL_biodegradable_PU,,PCL-Based Biodegradable PU,0,high,,,False
N0225,Project,PVDF_piezo_biointerface,,PVDF Piezoelectric Biointerface,0,high,,,False
N0226,Project,ionogel_FeCl4_PU,,Ionogel/FeCl4-PU Interaction,0,high,,,False
N0227,Project,ML_polyurethane_properties,,ML for Polyurethane Properties,0,high,,,False
N0228,MLFeature,mechanical properties,,ML input feature candidate: mechanical properties,1,medium,,,False
