paper_id,title,original_category,revised_category,keep_irrelevant,reason,confidence
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P008,Supplementary Information for,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Supplementary material,high
P009,"Matter, Volume 5",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P014,High-barrier polyimide containing fluorenol moiety: gas,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P017,: Polymers with Complex Architectures,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P026,: Polymer Functionalization,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P035,: Polymer Conformation A Pedagogical,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P041,"CiteThis:Macromolecules2018,51,4423−4423",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P042,芳香複素環高分子材料の構造 分子,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P043,A Journal of the Gesellschaft Deutscher Chemiker,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P046,A Theory of the Linear Viscoelastic Properties of Dilute,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P047,Rouse mode analysis of chain relaxation in,irrelevant_or_low_priority,self_healing_elastomer,False,Possible match: 2 keywords for self_healing_elastomer (needs review),low
P048,JournalofNon-NewtonianFluidMechanics316(2023)105012,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P050,2 Preparation of a Tough Elastomer by the Introduction of Multiple,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P053,www.advmat.de,irrelevant_or_low_priority,biodegradable_polyurethane,False,Possible match: 2 keywords for biodegradable_polyurethane (needs review),low
P054,Synthesis of a Photo-Crosslinkable Elastomer for Stretchable,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P058,Tough and stretchable all-κ-carrageenan hydrogel based on the,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P060,Gel Electrolytes www.advmat.de,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P062,www.advmat.de,irrelevant_or_low_priority,self_healing_elastomer,False,Re-classified: 3 keywords matched for self_healing_elastomer,low
P065,Materials,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P067,Highly Robust and Environment-Tolerant Conducting Polymer,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P071,Molecular charge states and contact charge exchange in,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P072,www.advancedsciencenews.com www.advmat.de,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P073,Artificial Muscles www.advmat.de,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P074,Proceedings of 10th IEEE International Conference,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P080,Volume 44 Number 21 7 November 2015 Pages 7431–7920,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P082,Materials Chemistry A,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P086,Electrolytes in Dye-Sensitized Solar Cells,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P088,This article is licensed under CC-BY 4.0,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P092,www.advmat.de,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P109,www.advmat.de,irrelevant_or_low_priority,SAXS_WAXS_FTIR_DSC_characterization,False,Possible match: 2 keywords for SAXS_WAXS_FTIR_DSC_characterization (needs review),low
P118,"Materials Today d Volume xxx, Number xx d xxxx 2025 RESEARCH (LIGHT BLUE)",irrelevant_or_low_priority,self_healing_elastomer,False,Possible match: 2 keywords for self_healing_elastomer (needs review),low
P148,www.advmat.de,irrelevant_or_low_priority,SAXS_WAXS_FTIR_DSC_characterization,False,Possible match: 2 keywords for SAXS_WAXS_FTIR_DSC_characterization (needs review),low
P149,Dynamic β‑Amino Sulfonamides for the Synthesis of Covalent,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P155,Controlled Synthesis of Lipoate Homopolymers via Reversible,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P156,Angewandte Chemie International Edition,irrelevant_or_low_priority,polyurethane_microphase_separation,False,Re-classified: 6 keywords matched for polyurethane_microphase_separation,medium
P162,Vol464|11March2010|doi:10.1038/nature08863,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P163,High enthalpy storage thermoset network with,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P164,A bioinspired and hierarchically structured,irrelevant_or_low_priority,biodegradable_polyurethane,False,Possible match: 2 keywords for biodegradable_polyurethane (needs review),low
P167,www.advmat.de,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 3 keywords matched for TPU_mechanics,low
P170,NanoEnergy111(2023)108378,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P172,NanoEnergy111(2023)108389,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P175,www.advenergymat.de,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P178,M aterials Chemistry A,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P192,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,irrelevant_or_low_priority,machine_learning_polymer_properties,False,Possible match: 2 keywords for machine_learning_polymer_properties (needs review),low
P198,Polymer Translocation Time,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P199,"Role of Functionality in Cross-Stream Migration, Structures, and",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P200,Application of the Tube Model to Explain the Unexpected Decrease,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P202,"Shear Banding in Entangled Polymers: Stress Plateau, Banding",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P203,"206 Chem.Rev.2008,108,206- 237",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P204,"23502 J. Phys. Chem. B 2006, 110, 23502-23506",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P206,"Chinese J. Polym. Sci. 2021, 39, 387–396",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P208,Viscoelastic Dynamics of Photothermal-Responsive Liquid,irrelevant_or_low_priority,polymer_nanocomposite,False,Possible match: 2 keywords for polymer_nanocomposite (needs review),low
P212,A New Approach to the Theory of,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P214,"Journal of Non-Newtonian Fluid Mechanics, 43 (1992) 273-288 273",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P215,第 12 期 高 分 子 学 报 No. 12,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P216,Unified Memory Kernel for Polymer Dynamics: Coupling,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P217,"第 50 卷 第 12 期 高 分 子 学 报 Vol. 50, No. 12",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P218,第7期 高 分 子 学 报 No．7,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P226,"MATERIALS SCIENCE (DRIPS)process(31,32).Theequilibriumcon-",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P233,Tough hydrogels enabled by transient,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P236,Dynamic Covalent Oleogel with Mechanical Force-Induced,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P238,COMMUNICATION,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 5 keywords matched for TPU_mechanics,medium
P241,This article is licensed under CC-BY 4.0,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P242,Polyelectrolyte elastomer-based ionotronic,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P243,基于 π-π 堆积作用的磁性(聚)离子液体的,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P244,Science AdvAnceS | ReSeAR ch AR ticle,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P250,Polymer Network Diffusion in Charged Gels,irrelevant_or_low_priority,self_healing_elastomer,False,Possible match: 2 keywords for self_healing_elastomer (needs review),low
P251,Advanced Interfacial Design for Electronic Skins with,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P253,This article is licensed under CC-BY 4.0,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P255,Developing Design Rules for Polyelectrolyte Complex Materials:,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P257,High-Performance Polyethylene-Ionomer-Based Thermoplastic,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 3 keywords matched for TPU_mechanics,low
P259,PUBLISHEDONLINE:30NOVEMBER2015|DOI:10.1038/NMAT4508,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P260,"Effect of Monomer Polarity on Polymer Dynamics, Glass Transition,",irrelevant_or_low_priority,SAXS_WAXS_FTIR_DSC_characterization,False,Possible match: 2 keywords for SAXS_WAXS_FTIR_DSC_characterization (needs review),low
P263,MaterialsTodayxxx(xxxx)xxx,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P265,Piezoionic elastomers by phase and interface engineering for high-performance en,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P268,Self-compliant ionic skin by leveraging,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P272,week ending,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P273,Mechanisms Controlling the Energy Barrier for Ion Hopping in,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P274,"Chem. Rev. 1988, 88, 109-124 109",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P275,Polymer Chain Conformation Triggers Electro-osmotic Flow in,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P279,www.advmat.de,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P280,Polymer235(2021)124306,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P295,Polymer Chain Conformation Triggers Electro-osmotic Flow in,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P296,"Polythiourethanes: Synthesis, Applications, and Opportunities",irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P302,MaterialsTodaydVolume32dJanuary/February2020 RESEARCH,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P304,Enabling nonconjugated polyesters emit,irrelevant_or_low_priority,bio_based_polymer,False,Possible match: 2 keywords for bio_based_polymer (needs review),low
P306,Angewandte Chemie,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P307,Molecular Modelling,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P308,《量子化学与分子力学/分子模拟》 第二章 分子的构建 http://struchem.nankai.edu.cn,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P309,第三章 势能面、构型优化,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P310,《量子化学与分子力学/分子模拟》第四章第四章量子力学模型 http://struchem.nankai.edu.cn,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P311,《量子化学与分子力学/分子模拟》第六章 经验力场模型-分子力学 http://struchem.nankai.edu.cn,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P312,《量子化学与分子力学/分子模拟》第五章 量子力学计算 http://struchem.nankai.edu.cn,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P313,Monte Carlo,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P314,《量子化学与分子力学/分子模拟》第八章分子模拟在药物设计中的应用简介 http://struchem.nankai.edu.cn,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P315,《量子化学与分子力学/分子模拟》第九章分子3D绘图 http://struchem.nankai.edu.cn,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P316,"Morphological Changes in PEDOT:PSS under Electrolytes,",irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P317,1. 名词解释：(20分)解释基本含义即可，可参考Computational Chemistry),irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P318,本教程的目的是为读者提供计算机集群组建及其在计算化学中的应用的入,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Course/exam material,high
P319,Coarse-Graining of Slit-Confined Star Polymers in Solvents of,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P325,A Computational Analysis of Crystallite Shape under Quiescent and,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P328,Angewandte Chemie International Edition,irrelevant_or_low_priority,polyurethane_microphase_separation,False,Re-classified: 6 keywords matched for polyurethane_microphase_separation,medium
P329,Dynamic Article Links <,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P331,A New Autocatalytic Thioacetate-Enal Addition Reaction:,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P332,Tetrahedron63(2007)11086–11092,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P335,第３８卷 第４期 陕西科技大学学报 Ｖｏｌ．３８Ｎｏ．４,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P336,Chemical Engineering Journal 530 (2026) 173421,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 3 keywords matched for TPU_mechanics,low
P342,POLYMERS degreeofpolymerizationoftheprimarychains,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 3 keywords matched for TPU_mechanics,low
P344,A Scaling Theory for Polyelectrolyte Brushes: Insights from,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P346,Viscoelastic Dynamics of Photothermal-Responsive Liquid,irrelevant_or_low_priority,polymer_nanocomposite,False,Possible match: 2 keywords for polymer_nanocomposite (needs review),low
P348,Controlling Equilibrium Swelling of Polyampholyte Gels Using,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P349,Heterogeneous Local Dynamics in Mussel-Inspired Elastomers,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P350,Shear Response of Ionizable Polymer Melts at the Crossover from,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P353,The process-directed self-assembly of block copolymer particles,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P354,"Torsional Polymer Chains: Flexibility Models, Conformational",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P358,This article is licensed under CC-BY 4.0,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 3 keywords matched for TPU_mechanics,low
P360,pubs.acs.org/JACS Article,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P361,Effective Entanglement and Constraint Release in Deformed,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P362,A New Approach to the Theory of,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P371,Piezoionic elastomers by phase and interface engineering for high-performance en,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P382,Flaw-Tolerant Fracture Enabled by Liquid-like,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 5 keywords matched for TPU_mechanics,medium
P383,Re-entry with Rate and Temperature of Brittle−Ductile Transition in,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P389,"Journal of Non-Newtonian Fluid Mechanics, 43 (1992) 273-288 273",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P391,Re-entry with Rate and Temperature of Brittle−Ductile Transition in,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P395,Entanglements and Fracture in Polymers,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 4 keywords matched for TPU_mechanics,medium
P399,Unified Memory Kernel for Polymer Dynamics: Coupling,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P401,Rubbery Surface Elasticity of Polymer Glasses,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P402,Temperature Dependence of Polymer Network Diffusion,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P403,Polymer Chain Conformation Triggers Electro-osmotic Flow in,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P405,in colloidal suspensions,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P409,PUBLISHEDONLINE:18JANUARY2016|DOI:10.1038/NMAT4538,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P412,Selected for a Viewpoint in Physics,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P413,PUBLISHEDONLINE:20JUNE2016|DOI:10.1038/NMAT4663,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P414,Dynamic pathways in energy landscapes,irrelevant_or_low_priority,SAXS_WAXS_FTIR_DSC_characterization,False,Possible match: 2 keywords for SAXS_WAXS_FTIR_DSC_characterization (needs review),low
P415,Pendant Groups in the Majority Domain of Aliphatic Multiblock,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P419,Reduction of Kuhn Length upon Chain Extension,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P420,ScieNce Adv ANceS | ReSeAR ch AR ticle,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P421,ScieNce Adv ANceS | ReSeAR ch AR ticle,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P423,Theory of inhomogeneous polymers:,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P429,Viscoelastic Dynamics of Photothermal-Responsive Liquid,irrelevant_or_low_priority,polymer_nanocomposite,False,Possible match: 2 keywords for polymer_nanocomposite (needs review),low
P436,Heterogeneous Local Dynamics in Mussel-Inspired Elastomers,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P441,Materials,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P445,Flaw-Tolerant Fracture Enabled by Liquid-like,irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 5 keywords matched for TPU_mechanics,medium
P450,COMMUNICATION,irrelevant_or_low_priority,polyurethane_microphase_separation,False,Re-classified: 6 keywords matched for polyurethane_microphase_separation,medium
P452,"A stretchable, mechanically robust polymer",irrelevant_or_low_priority,TPU_mechanics,False,Re-classified: 3 keywords matched for TPU_mechanics,low
P455,Angewandte Chemie International Edition,irrelevant_or_low_priority,polyurethane_microphase_separation,False,Re-classified: 6 keywords matched for polyurethane_microphase_separation,medium
P456,Angewandte Chemie International Edition,irrelevant_or_low_priority,polyurethane_microphase_separation,False,Re-classified: 6 keywords matched for polyurethane_microphase_separation,medium
